time, coinbase price
2016-01-19 16:50:03 +0200, 385.0
2016-01-19 16:51:02 +0200, 384.9
2016-01-19 16:52:03 +0200, 384.99
2016-01-19 16:53:02 +0200, 384.88
2016-01-19 16:54:03 +0200, 384.97
2016-01-19 16:55:03 +0200, 384.98
2016-01-19 16:56:02 +0200, 384.99
